AAB	Abelag Aviation	ABG
FSJ	?	Free Sky
FSK	Africa Charter Airlines CC - South Africa	African Sky
FSP	Aperture Aviation	Snapshot
FSR	Flightstar Corporation, the (Savoy, IL) - United States	Flightstar
FST	United States	Flightron
FSW	Faso Airways Sarl - Burkina Faso	Faso
FSX	Flagship Express Services, Inc. (Ypsilanti, MI)	Flag
FSY	?	Frosty
FTA	Frontier Flying Service, Inc. (Fairbanks, AK) - United States	Frontier-Air
FTC	Air Affaires Tchad - Chad	Affaires Tchad
FTG	?	Technology
FTH	?	Foothills
FTJ	?	Hu Tai
FTL	Flightline	Flight-Avia
FTM	Flyteam Aviation Ltd - United Kingdom	Flyteam
FTP	Keystone Aerial Surveys, Inc. (Philadelphia, PA)	Footprint
FTR	Finist'Air - France	Finistair
FTS	First Sabre, S.A. de C.V. - Mexico	First Sabre
FTT	Flight Track Training GmbH - Austria	Flight Training
FTU	China Civil Aviation Flight University	Flight University
FTY	ABC Bedarfsflug GmbH	Fly Tyrol
FTZ	?	Grey Bird
FUC	Fumicar - Ecuador	Fumicar
FUF	?	Servifun
FUJ	Fujairah Aviation Centre - United Arab Emirates	Fujairah
FUL	Five Forty Uganda Limited - Uganda	Orange Crane
FUM	?	Funline
FUP	Fumipalma - Ecuador	Fumipalma
FUS	Fumisol - Ecuador	Fumisol
FUT	Aereo Futuro, S.A. de C.V.	Aereo Futuro
FVA	Cardinal/Air Virginia (Lynchburg, VA)	Air Virginia
FVE	?	Angels
FVK	?	Balder
FVS	Falcon Aviation Services - United Arab Emirates	Falcon Aviation
FWD	Fair Wind Air Charter (Stuart, FL) - United States	Fair Wind
FWI	Air Caraibes - France	French West
FWK	Flightworks, Inc. (Kennesaw, GA) - United States	Flightworks
FWL	Florida West International Airways, Inc.  (Miami, FL) - United States	Flo West
FWR	?	Flightaware
FXI	Flugfelag Islands, Iceland Air - Iceland	Faxi
FXP	?	Sundial
FXR	?	Wildfox
FXW	Associated Aircraft Group, Inc. (Wappingera Falls, NY)	Flexwing
FYA	Servicios Aereos Integrales S.A. (Flyant) - Spain	Flyant
FYD	Flying Devil SA - Switzerland	Flying Devil
FYE	Easy Link Aviation Services - Nigeria	Flyme
FYG	Flying Service - Belgium	Flying Group
FYJ	?	Fastjet
FYL	Flying Group Luxembourg S.A. - Luxembourg	Flyinglux
FYS	?	European Flyers
FYW	?	Maisbrasil
FZA	?	Strait Air
FZW	?	Fresh Express
GAA	?	Global Africa
GAC	Globeair AG - Austria	Dream Team
GAD	South Coast Aviation (Bournemouth) Ltd - United Kingdom	Southcoast
GAF	German Air Force	German Air Force
GAG	?	Geebird
GAH	Ga-Ma Helicoptere - France	Gamhelico
GAI	Moscovia Airlines JSC - Russian Federation	Gromov Airline
GAJ	?	Gama Jet
GAK	Global Aviation and Services Group - Libyan Arab Jamahiriya	Aviagroup
GAL	Alianza Glancelot, C.A. - Venezuela	Errante
GAM	German Army	German Army
GAP	Air Philippines - Philippines	Airphil
GAS	Galena Air Service (Galena, AK) - United States	Galena Air Service
GAT	Gulf Air Inc. (New Iberia, LA) - United States	Gulf Trans
GAU	Aerogaucho S.A. - Uruguay	Aerogaucho
GAW	Kenya	Skycrawler
GAX	Full Express, Inc. (Swanton, OH) - United States	Grand Aire
GBA	Gulf Air Bahrain B.S.C. - Bahrain	Gulf Bahrain
GBB	Global Aviation Operations (Pty) Ltd - South Africa	Globe
GBC	Gabon Airlines Cargo - Gabon	Gabon Cargo
GBE	Gabon Express - Gabon	Gabex
GBG	?	Global Gulf
GBJ	?	Global Thai
GBK	Gabon Airlines - Gabon	Gabon Airlines
GBM	Beriev Aircraft Company - Russian Federation	Beriev Company
GBN	Atlantic Airlines - Gabon	Atlantic Gabon
GBQ	?	Gambia Bird
GBR	Rader Aviation, Inc. (White Sulfer Springs, WV)	Greenbrier Air
GBS	Global Air Services Nigeria Ltd - Nigeria	Global Serve
GBT	A-Jet Aviation Aircraft Management GmbH - Austria	Globetrotter
GBX	GB Airlink, Inc. (Ft. Lauderdale, FL) - United States	Geebee Link
GCA	Grand Cru Airlines	Grand Cru
GCB	Lignes Nationales Aeriennes - Linacongo - Congo	Linacongo
GCC	General Electric Capital Aviation Services	Gecas
GCF	Aeronor - Spain	Aerocarto
GCH	?	Gama Swiss
GCK	?	Glock
GCM	?	Globecom
GCN	Gulf Central Airlines Inc. (Melbourne, FL) - United States	Gulf Central
GCO	Gemini Air Cargo, LLC - United States	Gemini
GCR	Tianjin Airlines Co., Ltd - China	Bo Hai
GCT	?	Gulf Coast
GCW	?	Globalcrew
GCY	?	Helibird
GDA	Severn Aviation Ltd - United Kingdom	Gladiator
GDB	Gendarmerie Belge - Belgium	Belgian Gendarmerie
GDC	Grand China Air Co., Ltd - China	Grand China
GDG	S.P. Aviation (Hayward, CA) - United States	Golden Gate
GDH	Guneydogu Havacilik Isletmesi Ltd Std - Turkey	Rising Sun
GDK	Goldeck-Flug Ges.M.B.H. - Austria	Goldeck Flug
GDR	Gadair European Airlines, S.L. - Spain	Gadair Lines
GDS	?	Goldstrike
GDY	Australian Law Enforcement Agencies - Australia	Guardian
GEC	Lufthansa Cargo Ag	Lufthansa Cargo
GEE	?	Gemex
GEG	Aeronautica Vientos del Norte, S.A. de C.V. - Mexico	Vien Nor
GEL	?	Sky Georgia
GEN	Gensa - General Services Aviation - Brazil	Gensa-Brasil
GEO	?	Apolax
GES	Gestair Executive Jet - Spain	Gestair
GET	?	Air Flow
GEX	?	Aero Georgia
GFA	Gulf Air - Bahrain	Gulf Air
GFC	Gail Force Express (Janesville, WI) - United States	Gail Force
GFD	Gesellschaft Fur Flugzieldarstellung Mbh, Hohn	Kite
GFF	Griffin Aviation (Cyprus) Limited - Cyprus	Griffin Air
GFI	Caribbean Star Airlines Limited - Antigua and Barbuda	Carib Star
GFN	The 955 Preservation Group	Griffon
GFO	Aerovias del Golfo, S.A. de C.V. - Mexico	Aerovias Golfo
GFS	Gulfstream Airlines, Inc. (South Windsor, CT) - United States	Gulfstar
GFV	?	Grupo-Afa
GFY	?	Geocargo
GGA	First Flying Squadron, Inc.	Jawja
GGC	Cargo 360, Inc. (Seattle, WA)	Long-Haul
GGE	Gobierno de la Republica de Guinea Ecuatorial - Equatorial Guinea	Ecuato Guinea
GGF	Georgian Cargo Airlines Africa S.A. - Senegal	Georgian Africa
GGG	South-East European Airlines - Georgia	Caucasus
GGL	Gira Globo Lda. - Angola	Gira Globo
GGN	Air Georgian Ltd - Canada	Georgian
GGO	?	Go Bird
GGT	?	Thunderball
GHA	?	Sutter
GHB	Ghana International Airlines Limited	Ghana Airlines
GHF	?	Ghana Airforce
GHK	Vintage Wings of Canada - Canada	Golden Hawk
GHL	?	Guilin Rotor
GHN	Air Ghana - Ghana	Air Ghana
GHP	Colvin Aviation, Inc. (Athens, GA) - United States	Grasshopper Ex
GHS	Gatari Air Service, Pt. - Indonesia	Gatari
GIA	Garuda Indonesia Airways, Pt. - Indonesia	Indonesia
GID	Grupo Integracion Comercializacion y Servicios, S.A. de C.V. - Mexico	Intecom
GIO	Gio D.O.O. - Slovenia	Gio-Avia
GJB	Trans-Air-Link Co. (Miami, FL)	Sky Truck
GJE	?	Global Jets
GJI	?	Gainstar
GJS	Gojet Airlines, LLC. (St. Louis, MO) - United States	Lindbergh
GJT	Lithuania	Getjet
GKA	U S Army Parachute Team	Golden Knights
GLA	Great Lakes Aviation Ltd (Spencer, IA) - United States	Lakes Air
GLD	Golden Star Air Cargo Co. Ltd - Sudan	Golden Star
GLE	Goliaf Air - Sao Tome and Principe	Goliaf Air
GLF	Gulfstream Aerospace (Savannah, GA) - United States	Gulfstream Test
GLG	Aerolineas Galapagos S.A. (Aerogal) - Ecuador	Aerogal
GLJ	Global Jet Austria GmbH - Austria	Global Austria
GLK	Aspan Airlines JSC - Kazakhstan	Kazak
GLL	Air Gemini, Lda - Angola	Twins
GLM	Aero Services Mali - Mali	Global Mali
GLO	?	Gol Transporte
GLP	Globus - Russian Federation	Globus
GLQ	El Quilada International Aviation Co. Ltd - Sudan	Quilada
GLR	Central Mountain Air Ltd - Canada	Glacier
GLS	RAF Gliding Squadron (Conventional)	Sedburgh
GLT	Aero Charter, Inc. (Chesterfield, MO)	Gaslight
GLU	Great Lakes Airways (U) Ltd - Uganda	Lakes Cargo
GLY	Galaxy Aviation (Pvt) Ltd - Pakistan	Galaxy Aviation
GMA	Gama Aviation Ltd - United Kingdom	Gama
GMC	General Motors Corporation (Ypsilanti, MI)	General Motors
GMD	?	Gulf Med
GMG	GM Helicopters - Latvia	Gee-Em Helicopters
GMH	Hughes Aircraft Company	Hughes
GMI	?	Germania
GMJ	Gamisa Aviacion, S.L. - Spain	Gamisa
GML	G & L Aviation - South Africa	Geeandel
GMM	Aerotaxis Guamuchil, S.A. de C.V. - Mexico	Aeroguamuchil
GMR	?	Golden Myanmar
GMS	Aeroservicios Gama, S.A. de C.V. - Mexico	Servicios Gama
GMT	Grupoaereo Monterrey, S.A. de C.V. - Mexico	Grupomonterrey
GMX	Golden Aviation de Mexico, S.A. de C.V. - Mexico	Golden Mexico
GNA	Servicios Aereos Gana, S.A. de C.V. - Mexico	Servigana
GNC	Guinea Cargo - Equatorial Guinea	Guinea Cargo
GND	Grand Airways, Inc. (Las Vegas, NV) - United States	Grand Vegas
GNJ	Gain Jet Aviation S.A. - Greece	Gain Jet
GNR	Gambia International Airlines Ltd - Gambia	Gambia International
GNX	Genex Ltd - Belarus	Aerogenex
GNY	German Navy	German Navy
GNZ	General Aviation Sp. Z.O.O. - Poland	Gonzo
GOA	Alberta Government - Canada	Alberta
GOF	Gof-Air, S.A. de C.V. - Mexico	Gof-Air
GOJ	Eurojet Aviation Ltd - United Kingdom	Gojet
GOL	Cargolaar Cc - Namibia	Cargolaar
GOM	Gomel Airlines - Belarus	Gomel
GOP	?	Gospa Air
GOW	Go Airlines (India) Private Limited - India	Goair
GOZ	Groznyy Avia JSC - Russian Federation	Groznyy Avia
GPA	Kingman Aviation, Inc. D/B/A Golden  Pacific Airlines (Kingman, AZ)	Gold Pac
GPD	Tradewind Aviation LLC (Oxford, CT)	Goodspeed
GPH	Myasischev Pilot Engineering Plant	Geophysica
GPL	Gesplane Servicios Aereos, S.L. - Spain	Gesplane
GPM	Grup Air-Med S.A. - Spain	Grupomed
GPR	GPM Aeroservicio, S.A. de C.V. - Mexico	GPM Aeroservicio
GRA	?	Flex
GRC	Grace Flight of America (Addison, TX) - United States	Grace Flight
GRD	National Grid Co	Grid
GRE	?	Helix
GRF	?	Simba
GRL	Air Greenland A/S - Denmark	Greenland
GRM	?	Geronimo
GRN	Edelweiss Holdings, Inc. D/B/A Rio Grande Air - United States	Grande
GRO	Lineas Aereas Allegro, S.A. de C.V. - Mexico	Allegro
GRR	Agroar - Trabalhos Aereos Lda. - Portugal	Agroar
GRV	Epsilon Aviation - Greece	Epsilon
GRX	Aircompany Grodno - Belarus	Grodno
GRY	New York State Police (Albany, NY)	Gray Rider
GRZ	Government of Zambia Communications Flight (Aircraft) - Zambia	Com Flight
GSA	Garden State Airlines, Inc. (Shrewsbury, NJ) - United States	Garden State
GSC	Grandstar Cargo International Airlines Co., Ltd - China	Grandstar Cargo
GSH	?	Gamamena
GSI	?	Slovenia
GSJ	Czech Republic	Grossjet
GSK	Global Sky Aircharter Corporation (Ft. Lauderdale, FL) - United States	Global Sky
GSL	Geographic Air Surveys Ltd. - Canada	Survey-Canada
GSO	?	Sky Walker
GSS	Global Supply Systems Ltd - United Kingdom	Jet Lift
GST	?	Supertank
GSW	?	Eiger
GTA	?	City Airways
GTC	Altin Havayolu Tasimaciligi Turizm Ve Ticaret A.S. - Turkey	Golden Wings
GTF	?	Gator Flight
GTH	General Aviation Flying Services (Teterboro, NJ) - United States	Gotham
GTI	Atlas Air, Inc. (Jamaica, NY)	Giant
GTP	Aerotaxi Grupo Tampico, S. A. de C.V. - Mexico	Grupotampico
GTS	?	Transgroup
GTV	Empresa de Aviacion Aerogaviota, S.A. - Cuba	Gaviota
GTW	American Air Charter, Inc. (Chesterfield, MO)	Gateway
GTX	GTA Air, Inc. (Lancaster, TX) - United States	Big-Dee
GUA	Aerotaxis de Aguascalientes, S.A. de C.V. - Mexico	Aguascalientes
GUE	Aero Servicio Guerrero, S.A. de C.V. - Mexico	Aero Guerrero
GUG	Empresa Guatemalteca de Aviacion (Aviateca) - Guatemala	Aviateca
GUJ	Gujarat Airways - India	Gujaratair
GUL	Gull Air (So. Yarmouth, MA) - United States	Gull-Air
GUM	Gum Air N.V. - Suriname	Gum Air
GUN	Grant Aviation, Inc. (Anchorage, AK) - United States	Hoot
GUS	Guja, S.A. de C.V. - Mexico	Guja
GUY	Air Guyane Sp. - France	Green Bird
GVA	?	Grupova
GVN	Gavina - Spain	Gavina
GWA	Great Western Air, Inc. (San Diego, CA) - United States	G-W Air
GWC	?	Gulf Wings
GWH	?	Jupiter
GWI	?	German Wings
GWL	Great Wall Airlines Co., Ltd - China	Great Wall
GWR	?	Lemon
GWS	General Airways - South Africa	Genair
GWY	USA 3000 Airlines (Newtown Square, PA)	Getaway
GWZ	Bahamas	Sun Burn
GYG	Serviceair - Georgia	Natakhtari
GYP	Eagle Aviation - United Kingdom	Gypsy
GYR	?	Gyrofer
GZP	Gazpromavia - Russian Federation	Gazprom
HAA	Helicopteros Agroforestal Ltda. - Chile	Agroforestal
HAC	?	Heli Mount
HAD	Haiti Aviation S.A. D/B/A Air D'Ayiti - Haiti	Haiti Avia
HAE	Kenmore Crew Leasing, Inc. (Kenmore, WA)	Holland Air
HAF	Hellenic Air Force - Greece	Hellenic Air Force
HAG	Hageland Aviation Services, Inc. (Anchorage, AK) - United States	Hageland
HAH	?	Hanma
HAJ	?	Dingchang
HAK	Pegasus Helicopter As	Helifalcon
HAL	Hawaiian Airlines - United States	Hawaiian
HAN	?	King Bee
HAO	?	Harty
HAP	Helicopteros Aero Personal, S.A. de C.V. - Mexico	Helipersonal
HAR	Harbor Airlines (Oak Harbor, WA) - United States	Harbor
HAS	Aerocaribe de Honduras, S. de R.L. (Honduras Air) - Honduras	Honduras Air
HAT	?	Sky Runner
HAU	Skyhaul Pty Ltd - South Africa	Skyhaul
HAV	Havilah Air Services - Nigeria	Havilah
HAW	Bangkok Aviation Center Co., Ltd - Thailand	Thai Hawk
HAX	Benair As	Scoop
HAY	?	Haya
HBA	Trail Lake Flying Service, Inc. D/B/A  Harbor Air (Seward, AK)	Harbor Air
HBC	Haitian Aviation Line S.A. - Haiti	Halisa
HBH	?	Hebei Air
HBR	?	Hebridean
HBT	Polizeihubschrauberstaffel Thuringen, Erfurt	Habicht
HCA	Lake Havasu Air Service (Lake Havasu City, AZ) - United States	Havasu
HCB	Helenair (Barbados) - Barbados	Helen
HCH	Helicopteros del Caribe, C.A. (Helica) - Venezuela	Helica
HCK	?	Heli-Charter
HCL	Helenair Corporation Limited - Saint Lucia	Helencorp
HCO	Heavy Lift Congo - Congo	Congo Lift
HCP	Helicopter - Czech Republic	Heli Czech
HCR	?	Helicraft
HCS	Helicharter Wales Ltd - United Kingdom	Heliwales
HCT	Cat Helicopters S.L. - Spain	Rotorcat
HCV	?	Creole
HDA	Hong Kong Dragon Airlines (HDA)	Dragon
HDC	Helicopteros de Cataluna, S.A. - Spain	Helicataluna
HDI	Hoteles Dinamicos, S.A. de C.V. - Mexico	Dinamicos
HDL	Hendell Aviation Oy	Hendell
HDM	?	Hog
HDR	?	Helitrans
HEA	Heliavia-Transporte Aereo, Lda - Portugal	Heliavia
HEB	Heli Bernina AG - Switzerland	Helibernina
HEC	Heliservicio Campeche, S.A. de C.V. - Mexico	Helicampeche
HED	Heritage Aviation Developments Ltd - United Kingdom	Flapjack
HEE	?	Heliejecutivo
HEI	Ricardo Hein B. (Aerohein Ltda.) - Chile	Aerohein
HEL	Helicol. Helicopteros Nacionales de Colombia - Colombia	Helicol
HEM	CHC Helicopters - Australia	Hems
HEN	Helicopteros y Vehiculos Nacionales Aereos, S.A. de C.V. - Mexico	Helinac
HEP	Oslo Politidistrikt, Helikoptertjenesten	Helipolice
HER	Hex'Air - France	Hex Airline
HET	Taf Helicopters S.A. - Spain	Helitaf
HEV	Helicopteros Ejecutivos, S.A. de C.V. - Mexico	Helijecutivo
HEW	ASA Heli-Water Sp.z.o.o. - Poland	Heliwater
HEX	Honiara Cargo Express	Honiara Cargo
HEZ	Arrow Aviation Ltd	Arrow
HFD	Blue City Aviation Ltd	Highfield
HFJ	?	Pangu
HFL	?	Hanseflug
HFM	?	Moonraker
HFR	Heli France - France	Helifrance
HFY	Hi Fly - Portugal	Sky Flyer
HGE	?	Hoagie
HGK	Fika Salaama Airlines Ltd - Uganda	Salaama
HGM	?	Mahsuri
HGR	Hangar 8 Ltd - United Kingdom	Hang
HGT	GMU Air Shuttle, Llc (McClellan, CA)	Hightech
HHA	Atlantic Airlines de Honduras, S. de R.L. - Honduras	Atlantic Honduras
HHE	Heli-Holland B.V. - Netherlands	Heli Holland
HHG	?	Hanergy Jet
HHH	?	Corinium
HHN	?	Rooster
HHP	Helenia Helicopter Service Aps - Denmark	Helenia
HHS	Hi-Jet Helicopter Services N.V. - Suriname	Hijet
HIA	?	Heliam
HIB	Helibravo Aviacao, Lda. - Portugal	Helibravo
HIF	Heli-Iberica Fotogrametria S.L. - Spain	Hifsa
HIL	Heli-Alpes SA - Switzerland	Heli Alpes
HIM	?	Himalaya
HIN	Holding International Group, S.A. de C.V. - Mexico	Holding Group
HIP	Starship, S.A. de C.V. - Mexico	Starsa
HJA	Air Haiti - Haiti	Airhaiti
HJE	Servicios Ejecutivos Gosa, S.A. de C.V. - Mexico	Gosa
HJI	?	Shiv Air
HJL	Hamlin Jet Ltd - United Kingdom	Bizjet
HJT	?	Heltair
HKA	Superior Aviation, Inc. (Iron Mountain/Kingsford, MI)	Spend Air
HKB	Hawker Beechcraft Corporation (Wichita, KS) - United States	Classic
HKC	?	Mascot
HKE	Hong Kong Express Airways Ltd	Hongkong Shuttle
HKG	Government Flying Service of the Hong Kong Special Administrative Region - Hong Kong, China	Hongkong Government
HKH	Air-Invest Ltd - Hungary	Hawkhungary
HKI	Wachovia Flight Operations D/B/A Hawkaire (Charlotte, NC)	Hawkeye
HKL	Hak Air Limited - Nigeria	Hak Airline
HKN	Jim Hankins Air Service, Inc. (Jackson, MS) - United States	Hankins
HKS	CHC Helikopter Service As	Helibus
HLA	?	Hollandia
HLC	Helicap - France	Helicap
HLE	UK HEMS	Helimed
HLH	Hala Air Co. - Sudan	Hala Air
HLI	Heli Securite - France	Heli Saint-Tropez
HLK	?	Heli-Link
HLL	?	Fusion
HLM	Heli Midwest de Mexico, S.A. de C.V. - Mexico	Helimidwest
HLP	Helipistas S.L. - Spain	Helipistas
HLR	Heli Air Services - Bulgaria	Heli Bulgaria
HLT	Helitafe, S.A. de C.V. - Mexico	Helitafe
HLU	Heli Union Heli Prestations - France	Heli Union
HLV	?	Servi Heli
HLW	Heliworks Ltda. - Chile	Heliworks
HLY	?	Whisper
HMB	CHC Global Operations - Canada	Hummingbird
HMC	Heliamerica de Mexico, S.A. de C.V. - Mexico	Heliamerica
HMD	Charlie Hammonds Flying Service, Inc. (Houma, LA) - United States	Hammond
HME	?	Hergo
HMF	?	Lifeguard Sweden
HMJ	?	Harmony Jets
HML	Hamsal Air Services Limited - Nigeria	Hamsal
HMP	Papair Terminal S.A. - Haiti	Papair Terminal
HMS	Hemus Air - Bulgaria	Hemus Air
HMX	Hawk de Mexico, S.A. de C.V. - Mexico	Hawk Mexico
HNA	Greek Navy (Hellenic Navy) - Greece	Hellenic Navy
HND	Hinterland Aviation Pty Ltd - Australia	Hinterland
HNJ	?	Southern Jet
HNL	CHC Helicopters Netherlands - Netherlands	Mapleleaf
HNR	Haiti National Airlines (Hana) - Haiti	Hanair
HNX	?	Superb
HOA	Baleares Link Express S.L. - Spain	Hola
HOD	?	Hodhod
HOG	?	Hogan Air
HOL	?	Holiday
HOM	Aero Homex, S.A. de C.V. - Mexico	Aero Homex
HON	?	Honda Test
HOP	Hop!	Air Hop
HPA	Pearl Airways Compagne Haitienne - Haiti	Pearl Airways
HPE	?	Hope Air
HPJ	Hop-A-Jet, Inc. (Ft. Lauderdale, FL)	Hopa-Jet
HPK	?	Hopscotch Air
HPL	Heliportugal - Trabalhos e Transporte Aereo,  Representacoes, Importacao e Exportacao, Lda - Portugal	Heliportugal
HPN	?	Harpoon
HPO	Almiron Aviation Ltd - Uganda	Almiron
HPR	Rick Lucas Helicopters Ltd - New Zealand	Helipro
HPS	Horizon Plus Limited - Bangladesh	Horizon Plus
HPY	?	Happy Travel
HRA	Heli-Iberica, S.A. - Spain	Erica
HRB	Haiti International Airline - Haiti	Haiti Airline
HRC	?	Harco
HRE	FFH Sudwestdeutsche Verkehrsfliegerschule, Freiburg - Germany	Hart Air
HRF	Veterans Airlift Command (St. Louis Park, MN)	Hero-Flight
HRM	?	Hermes
HRN	?	Heronair
HRS	?	Horsemen
HRT	Chartright Air Inc. - Canada	Chartright
HRV	Sahara Aero Service (SAS) - Chad	Sahara-Service
HRZ	Croatian Air Force (Hrvatsko Ratno Zrakoplovstvo) - Croatia	Croatian Airforce
HSA	East African Safari Air Limited - Kenya	Duma
HSE	Heliscan As	Heliscan
HSF	Hanseo University - Republic of Korea	Han-Seo Flight
HSG	Hesnes Air AS	Sky Dolphin
HSH	?	Hispanica
HSI	Heliswiss International AG - Switzerland	Heliswiss
HSJ	?	Baosheng
HSK	?	Halla Sky
HSN	H.S. Aviation Co., Ltd - Thailand	Jaguar
HSO	?	Heliservice
HSR	Greece	Helistar
HSS	Compania Transportes Aereos del Sur, S.A. - Spain	Tas Helicopteros
HSU	Helisul - Portugal	Helis
HSW	Heliswiss Iberica, S.A. - Spain	Heliberica
HSY	Sky Helicopteros S.A. - Spain	Helisky
HTB	?	Helix-Craft
HTC	Haiti Trans Air S.A. - Haiti	Haiti Transair
HTE	Midwest Helicopters de Mexico, S.A. de C.V. - Mexico	Helicoptersmexico
HTG	Grossmann Air Service Bedarfsluftfahrtsunternehmen GmbH & Co. KG. - Austria	Grossmann
HTH	?	Alboran
HTI	Haiti International Air S.A. - Haiti	Haiti International
HTK	?	Lingbird
HTL	?	Hotline
HTM	?	Helitravel
HTR	Holstenair Lubeck, Luftverkehrsservice GmbH & Co.  Betriebs-Kg, Lubeck - Germany	Holsten
HTS	Helitrans Air Service, Inc. (Long Beach, CA) - United States	Helitrans
HTT	Air Tchad, Societe de Transports Aeriens - Chad	Hotel Tango
HTY 	?	Helity
HUB	Hub Airlines, Inc. (Ft. Wayne, IN)	Hub
HUC	Aerolineas de Tehuacan, S.A. de C.V. - Mexico	Lineas Tehuacan
HUF	Hungarian Airforce	Hungarian Airforce
HUN	?	Hungarian
HUR	Miami Air Charter (Miami, FL)	Hurricane Charter
HUS	Heussler Air Service Corp (Buffalo, NY) - United States	Heussler
HUT	Aerotransportes Huitzilin, S.A. de C.V. - Mexico	Aerohuitzilin
HUY	Aero Transportes del Humaya, S.A. de C.V. - Mexico	Aero Humaya
HVK	Turkish Air Force	Turkish Airforce
HVN	Hang Khong Viet Nam - Viet Nam	Viet Nam Airlines
HVY	Heavylift Cargo Airlines Pty. Ltd - Australia	Heavy Cargo
HWA	?	Hillwood
HWD	HPM Investments Ltd	Flitewise
HWH	?	Heliworld
HWK	?	Firehawk
HXA	China Express Airlines Co., Ltd	China Express
HYC	Hydro Air Flight Operations - South Africa	Hydro Cargo
HYD	?	Hydro
HYP	?	Hyperion
HYT	?	Quick Air
HYR	Airlink Airways - Ireland	Highflyer
HZM	Huzima - Ecuador	Huzima
HZS	?	Horizon Sky
HZT	Air Horizon - Togo	Horizon Togo
IAA	?	Anfibios
IAB	?	Infinity Air
IAC	?	Intercharter
IAD	?	Red Knight
IAE	?	Iraero
IAG	EPAG - Groupe Air France - France	Epag
IAL	Imatong Airlines Ltd - Kenya	Imatong
IAM	Aeronautica Militare Italiana - Italy	Italian Airforce
IAN	?	Interav
IAR	Iliamna Air Taxi Inc. (Iliamna, AK) - United States	Iliamna Air
IAS	International Air Service Co (Napa, CA) - United States	Starfleet
IAV	Island Aviation Ltd - United Kingdom	Island Flyer
IAW	Iraqi Airways	Iraqi
IAX	?	Abbotsford Air
IAY	Daedalos Flugbetriebs GmbH - Austria	Iason
IBC	?	Ibex Charter
IBE	Iberia - Lineas Aereas de Espana, S.A. - Spain	Iberia
IBG	?	Ice Bridge
IBJ	Air Taxi & Charter International, S.L. - Spain	Ibertaxi
IBK	?	Nortrans
IBL	IBL Aviation Ltd - Mauritius	Catovair
IBR	Ibertour Servicios Aereos S.L.U. - Spain	Ibertour
IBS	?	Iberexpres
IBX	Ibex Airlines Co., Ltd - Japan	Ibex
ICB	Islandsflug ehf / Icebird Airways - Iceland	Icebird
ICC	Instituto Cartografico de Cataluna - Spain	Carto
ICD	Icaro - Ecuador	Icaro
ICE	Icelandair - Iceland	Iceair
ICF	?	Incharter
ICG	Icelandic Coast Guard - Iceland	Iceland Coast
ICH	Intercontinental Airways (Gambia) Limited - Gambia	Intercontinental
ICI	?	Iceman
ICL	Cavei Avir Lemitanim - Israel	Cal
